score	seq	width	nucCons	file
793.3585050003629	70	17	0.05	ia1_BEAM_noise21_8_run5.txt
793.3585050003628	70	17	0.05	ia1_BEAM_noise21_8_run6.txt
793.3585050003628	70	17	0.05	ia1_BEAM_noise21_8_run7.txt
793.3585050003629	70	17	0.05	ia1_BEAM_noise21_8_run8.txt
793.358505000363	70	17	0.05	ia1_BEAM_noise21_8_run9.txt
755.4635756378782	68	17	0.05	ia1_BEAM_noise21_9_run1.txt
759.3874328972199	66	17	0.05	ia1_BEAM_noise21_9_run10.txt
759.3409694751398	67	17	0.05	ia1_BEAM_noise21_9_run2.txt
759.3874328972198	66	17	0.05	ia1_BEAM_noise21_9_run3.txt
759.3874328972199	66	17	0.05	ia1_BEAM_noise21_9_run4.txt
759.3874328972198	66	17	0.05	ia1_BEAM_noise21_9_run5.txt
786.9524991171535	65	18	0.05	ia1_BEAM_noise21_9_run6.txt
921.2591127143234	52	28	0.00	ia1_BEAM_noise21_9_run7.txt
786.4984714659952	66	18	0.05	ia1_BEAM_noise21_9_run8.txt
759.3345443995572	66	17	0.05	ia1_BEAM_noise21_9_run9.txt
1003.3325961245517	62	21	NULL	ia1_BEAM_noise28_10_run7.txt
712.9726898387702	63	18	0.11	ia1_BEAM_noise28_1_run1.txt
715.4295028518766	62	18	0.11	ia1_BEAM_noise28_1_run10.txt
919.8228735342625	53	24	0.00	ia1_BEAM_noise28_1_run2.txt
903.1886807969258	55	21	0.00	ia1_BEAM_noise28_1_run3.txt
715.4295028518766	62	18	0.11	ia1_BEAM_noise28_1_run4.txt
905.0581752189022	54	22	0.00	ia1_BEAM_noise28_1_run5.txt
922.6482632543701	53	25	0.00	ia1_BEAM_noise28_1_run6.txt
715.4295028518768	62	18	0.11	ia1_BEAM_noise28_1_run7.txt
715.4295028518766	62	18	0.11	ia1_BEAM_noise28_1_run8.txt
715.4295028518768	62	18	0.11	ia1_BEAM_noise28_1_run9.txt
996.7687137519952	50	26	0.00	ia1_BEAM_noise28_2_run1.txt
1005.9646023005463	59	26	0.00	ia1_BEAM_noise28_2_run10.txt
1001.1312464889011	50	27	0.00	ia1_BEAM_noise28_2_run2.txt
1003.7572448978578	57	26	0.00	ia1_BEAM_noise28_2_run3.txt
1003.9550127884577	54	26	0.00	ia1_BEAM_noise28_2_run4.txt
1006.0193940704125	50	27	0.03	ia1_BEAM_noise28_2_run5.txt
1000.8117950245064	50	26	0.00	ia1_BEAM_noise28_2_run6.txt
668.2068714201845	62	17	0.11	ia1_BEAM_noise28_2_run7.txt
998.3150381861092	50	27	0.00	ia1_BEAM_noise28_2_run8.txt
1004.0404737644152	52	27	0.03	ia1_BEAM_noise28_2_run9.txt
705.4993886864718	72	17	0.05	ia1_BEAM_noise28_3_run1.txt
704.9289569492106	70	17	0.05	ia1_BEAM_noise28_3_run10.txt
705.013000414825	70	17	0.05	ia1_BEAM_noise28_3_run2.txt
733.7715542527386	70	18	0.05	ia1_BEAM_noise28_3_run3.txt
734.740196595724	72	18	0.05	ia1_BEAM_noise28_3_run4.txt
705.3326851938372	71	17	0.05	ia1_BEAM_noise28_3_run5.txt
702.382472845322	72	17	0.05	ia1_BEAM_noise28_3_run6.txt
704.3554214330884	69	17	0.05	ia1_BEAM_noise28_3_run7.txt
732.8628329397897	70	18	0.05	ia1_BEAM_noise28_3_run8.txt
705.1046859132666	71	17	0.05	ia1_BEAM_noise28_3_run9.txt
682.9002746458008	67	17	0.05	ia1_BEAM_noise28_4_run1.txt
889.3798485290315	58	25	0.00	ia1_BEAM_noise28_4_run10.txt
899.5652306196205	59	24	0.00	ia1_BEAM_noise28_4_run2.txt
896.5247886902799	59	24	0.00	ia1_BEAM_noise28_4_run3.txt
891.8147591261495	59	24	0.00	ia1_BEAM_noise28_4_run4.txt
897.2383663120853	58	24	0.00	ia1_BEAM_noise28_4_run5.txt
892.5192269413405	57	25	0.00	ia1_BEAM_noise28_4_run6.txt
890.3046418633573	59	23	0.00	ia1_BEAM_noise28_4_run7.txt
879.5018387413307	59	24	0.00	ia1_BEAM_noise28_4_run8.txt
682.9002746458008	67	17	0.05	ia1_BEAM_noise28_4_run9.txt
919.4831688354261	58	24	0.00	ia1_BEAM_noise28_5_run10.txt
887.939280282944	53	26	0.00	ia1_BEAM_noise28_6_run1.txt
883.7167496173172	53	26	0.00	ia1_BEAM_noise28_6_run10.txt
691.6392479387748	74	17	0.05	ia1_BEAM_noise28_6_run2.txt
699.6980512885492	70	17	0.05	ia1_BEAM_noise28_6_run3.txt
893.5902470613172	54	26	0.00	ia1_BEAM_noise28_6_run4.txt
890.909475250944	55	26	0.00	ia1_BEAM_noise28_6_run5.txt
700.0079631714661	70	17	0.05	ia1_BEAM_noise28_6_run6.txt
749.7717029746148	48	34	0.52	ia1_BEAM_noise28_6_run7.txt
692.7247057768865	72	17	0.05	ia1_BEAM_noise28_6_run8.txt
700.0079631714663	70	17	0.05	ia1_BEAM_noise28_6_run9.txt
707.614730948227	68	17	NULL	ia1_BEAM_noise28_7_run2.txt
978.3453631762459	63	22	0.00	ia1_BEAM_noise28_8_run1.txt
976.0658590193872	62	24	0.00	ia1_BEAM_noise28_8_run10.txt
981.2224405079256	62	22	0.00	ia1_BEAM_noise28_8_run2.txt
970.7305093264953	62	24	0.00	ia1_BEAM_noise28_8_run3.txt
965.3994958078855	62	24	0.00	ia1_BEAM_noise28_8_run4.txt
983.550169017053	62	23	0.00	ia1_BEAM_noise28_8_run5.txt
735.9551516521186	65	18	0.05	ia1_BEAM_noise28_8_run6.txt
968.3377209597586	62	23	0.00	ia1_BEAM_noise28_8_run7.txt
971.8963010560857	62	23	0.00	ia1_BEAM_noise28_8_run8.txt
975.4586557041725	62	23	0.00	ia1_BEAM_noise28_8_run9.txt
925.8119229547606	48	25	0.00	ia1_BEAM_noise28_9_run1.txt
926.3136288678876	48	25	0.00	ia1_BEAM_noise28_9_run10.txt
732.2765270047678	68	18	0.00	ia1_BEAM_noise28_9_run2.txt
732.2765270047679	68	18	0.00	ia1_BEAM_noise28_9_run3.txt
728.1788104973213	68	18	0.05	ia1_BEAM_noise28_9_run4.txt
721.3382364455736	69	18	0.00	ia1_BEAM_noise28_9_run5.txt
917.2877358184445	50	25	0.00	ia1_BEAM_noise28_9_run6.txt
732.2765270047678	68	18	0.00	ia1_BEAM_noise28_9_run7.txt
732.2765270047678	68	18	0.00	ia1_BEAM_noise28_9_run8.txt
732.2765270047679	68	18	0.00	ia1_BEAM_noise28_9_run9.txt
629.8969687110093	61	17	0.05	ia1_BEAM_noise35_10_run1.txt
629.8969687110093	61	17	0.05	ia1_BEAM_noise35_10_run10.txt
629.8969687110093	61	17	0.05	ia1_BEAM_noise35_10_run2.txt
807.2228716997796	53	24	0.00	ia1_BEAM_noise35_10_run3.txt
797.9244077676783	56	21	0.00	ia1_BEAM_noise35_10_run4.txt
629.8476127512519	61	17	0.05	ia1_BEAM_noise35_10_run5.txt
820.6321363765333	52	24	0.00	ia1_BEAM_noise35_10_run6.txt
817.9083382508732	52	24	0.00	ia1_BEAM_noise35_10_run7.txt
629.8350714933123	62	17	0.05	ia1_BEAM_noise35_10_run8.txt
808.6198819201654	52	23	0.00	ia1_BEAM_noise35_10_run9.txt
798.6603264543079	47	26	0.00	ia1_BEAM_noise35_2_run1.txt
654.0420262848114	67	17	0.05	ia1_BEAM_noise35_2_run10.txt
652.5144918298614	69	17	0.05	ia1_BEAM_noise35_2_run2.txt
794.0811843366997	47	23	0.00	ia1_BEAM_noise35_2_run3.txt
648.8452451992815	68	17	0.05	ia1_BEAM_noise35_2_run4.txt
654.0420262848115	67	17	0.05	ia1_BEAM_noise35_2_run5.txt
654.0420262848113	67	17	0.05	ia1_BEAM_noise35_2_run6.txt
653.0900934166668	66	17	0.05	ia1_BEAM_noise35_2_run7.txt
790.7255156805495	51	23	0.00	ia1_BEAM_noise35_2_run8.txt
653.9779103150751	68	17	0.05	ia1_BEAM_noise35_2_run9.txt
901.7220107867357	54	24	0.00	ia1_BEAM_noise35_3_run1.txt
908.6137011510008	54	24	0.00	ia1_BEAM_noise35_3_run10.txt
910.742466870388	54	24	0.00	ia1_BEAM_noise35_3_run2.txt
898.4892392928061	53	25	0.00	ia1_BEAM_noise35_3_run3.txt
904.9298253849058	54	25	0.00	ia1_BEAM_noise35_3_run4.txt
905.7510857571081	53	24	0.00	ia1_BEAM_noise35_3_run5.txt
907.8698538427251	54	25	0.00	ia1_BEAM_noise35_3_run6.txt
901.3298375134782	54	25	0.00	ia1_BEAM_noise35_3_run7.txt
903.01052129521	52	24	0.00	ia1_BEAM_noise35_3_run8.txt
902.8504433395815	53	24	0.00	ia1_BEAM_noise35_3_run9.txt
891.9900393286086	57	23	0.00	ia1_BEAM_noise35_4_run1.txt
898.4874016091555	56	25	0.00	ia1_BEAM_noise35_4_run10.txt
896.6291923115895	56	24	0.00	ia1_BEAM_noise35_4_run2.txt
893.3167345864341	56	25	0.00	ia1_BEAM_noise35_4_run3.txt
898.0692382430232	56	24	0.00	ia1_BEAM_noise35_4_run4.txt
896.7279796943036	56	24	0.00	ia1_BEAM_noise35_4_run5.txt
901.9555538346825	55	26	0.00	ia1_BEAM_noise35_4_run6.txt
899.4605516915169	55	25	0.00	ia1_BEAM_noise35_4_run7.txt
891.6013531159967	55	25	0.00	ia1_BEAM_noise35_4_run8.txt
896.7112550329197	56	23	0.00	ia1_BEAM_noise35_4_run9.txt
971.8504747189	57	23	0.00	ia1_BEAM_noise35_5_run1.txt
978.8759816942879	57	25	0.00	ia1_BEAM_noise35_5_run10.txt
984.152299498668	56	26	0.00	ia1_BEAM_noise35_5_run2.txt
979.23053617326	57	23	0.00	ia1_BEAM_noise35_5_run3.txt
971.6487434046394	57	23	0.00	ia1_BEAM_noise35_5_run4.txt
986.9017000494778	57	25	0.00	ia1_BEAM_noise35_5_run5.txt
975.9104434123617	57	23	0.00	ia1_BEAM_noise35_5_run6.txt
991.2887282341123	57	26	0.00	ia1_BEAM_noise35_5_run7.txt
986.8281448267284	57	25	0.00	ia1_BEAM_noise35_5_run8.txt
977.9606762891478	56	26	0.00	ia1_BEAM_noise35_5_run9.txt
1068.699078704571	58	26	0.00	ia1_BEAM_noise35_6_run1.txt
